order_id,customer_id,product,quantity,unit_price
O50416,C1040,Phone Case,2,143.0
O57638,C1029,USB-C Cable,3,140.09
O82350,C1005,USB-C Cable,2,57.55
O89482,C1053,HDMI Adapter,1,133.97
O15788,C1020,  Mechanical Keyboard  ,3,166.73
O36588,C1018,USB-C Cable,2,112.57
O82521,C1027,Phone Case,3,74.76
O99486,C1057,WEBCAM,1,
O69606,C1052,Laptop Sleeve,3,147.86
O48165,C1002,Bluetooth Headphones,1,132.3
O18819,C1051,Laptop Stand,2,94.67
O66980,C1013,Portable Charger,2,
O27911,C1030,MECHANICAL KEYBOARD,1,130.96
O25963,C1038,HDMI Adapter,1,119.44
O38683,C1000,  Webcam  ,3,38.25
O66087,C1014,Mechanical Keyboard,2,102.38
O36698,C1036,Webcam,1,28.48
O74361,C1031,PHONE CASE,3,163.43
O22032,C1031,Laptop Stand,2,123.33
O70845,C1006,Laptop Sleeve,2,153.13
O85813,C1012,Laptop Sleeve,2,105.37
O30070,C1028,Wireless Mouse,2,114.24
O30868,C1031,Desk Lamp,2,118.48
O28434,C1040,Desk Lamp,1,64.96
O31344,C1036,Wireless Mouse,1,108.04
O34688,C1017,  HDMI Adapter  ,2,163.99
O22280,C1027,Bluetooth Headphones,3,45.61
O67271,C1003,  Desk Lamp  ,3,164.48
O78566,C1023,Portable Charger,3,30.14
O85550,C1003,Webcam,1,62.33
O21171,C1015,Mechanical Keyboard,3,53.75
O99173,C1044,Screen Protector,1,137.82
O93418,C1057,Phone Case,3,72.61
O68619,c1011,Bluetooth Headphones,1,145.69
O82845,C1000,Wireless Mouse,2,121.84
O11851,C1056,Mechanical Keyboard,2,167.6
O23951,C1011,Screen Protector,2,102.75
O68114,C1026,Bluetooth Headphones,1,117.65
O96972,C1053,Laptop Sleeve,1,102.35
O42325,C1029,Wireless Mouse,3,136.14
O18177,C1016,Wireless Mouse,1,19.94
O89920,C1037,PHONE CASE,2,39.72
O59998,C1003,Wireless Mouse,3,77.09
O52335,C1030,Desk Lamp,2,72.03
O38773,C1050,Laptop Stand,2,161.92
O20031,C1048,Mechanical Keyboard,3,137.93
O68065,C1048,Webcam,3,136.24
O82845,C1000,Laptop Sleeve,1,99.35
O16385,C1017,  Webcam  ,3,57.86
O28827,c1027,Phone Case,2,57.79
O75639,C1043,Webcam,2,136.22
O17255,C1022,Wireless Mouse,1,103.03
O37973,C1038,Bluetooth Headphones,1,17.3
O27781,C1019,Screen Protector,1,155.14
O99523,C1018,Bluetooth Headphones,1,67.18
O61296,C1035,Webcam,1,102.26
O49513,C1006,Wireless Mouse,3,150.8
O75514,C1034,Wireless Mouse,3,153.8
O80442,C1051,Phone Case,3,12.8
O40115,C1041,Desk Lamp,1,80.42
O33206,C1056,HDMI Adapter,1,144.8
O31567,C1050,Screen Protector,2,52.2
O16385,C1017,HDMI Adapter,3,139.53
O74923,C1047,  Webcam  ,3,83.73
O95597,C1058,Desk Lamp,3,35.76
O75251,C1009,USB-C Cable,2,162.67
O85778,C1036,Bluetooth Headphones,1,
O84928,C1050,Desk Lamp,2,120.12
O51984,C1032,Wireless Mouse,3,43.36
O79226,C1054,Mechanical Keyboard,1,16.01
O13251,C1042,Laptop Sleeve,3,106.38
O27882,C1002,USB-C Cable,2,13.01
O38905,C1026,Bluetooth Headphones,2,45.59
O53292,C1003,Webcam,1,131.39
O70384,C1044,Portable Charger,2,79.09
O69460,C1033,Laptop Sleeve,1,159.93
O94512,C1058,Mechanical Keyboard,2,10.8
O45378,C1051,Webcam,1,35.99
O93238,C1057,Phone Case,2,172.49
O20114,C1049,Laptop Sleeve,3,121.85
O19539,C1017,Laptop Sleeve,1,137.74
O60040,C1008,Phone Case,1,119.76
O21239,C1033,Portable Charger,3,45.25
O62844,C1023,  HDMI Adapter  ,3,79.62
O70693,C1040,Screen Protector,1,92.63
O57638,C1029,Laptop Sleeve,1,91.85
O25931,C1029,Laptop Sleeve,3,14.3
O95093,C1013,Portable Charger,1,21.49
O80010,C1023,Wireless Mouse,1,29.77
O31068,C1025,Bluetooth Headphones,2,168.08
O94707,C1051,Portable Charger,2,80.54
O31093,C1002,USB-C Cable,3,172.6
O67896,C1017,Portable Charger,2,44.36
O77673,C1046,Wireless Mouse,3,155.43
O45804,C1042,Webcam,2,93.55
O18934,C1006,  Mechanical Keyboard  ,2,56.18
O11105,C1052,Mechanical Keyboard,3,56.36
O77917,C1022,USB-C Cable,1,94.58
O85778,C1036,HDMI Adapter,1,91.38
O93422,C1053,USB-C Cable,2,87.28
O40984,C1039,  Wireless Mouse  ,1,134.92
O28423,C1004,Mechanical Keyboard,3,48.6
O39190,C1015,Wireless Mouse,2,102.69
O58864,C1017,Portable Charger,3,28.54
O68422,C1012,USB-C Cable,2,154.17
O44152,C1014,Mechanical Keyboard,1,170.42
O36299,C1054,Bluetooth Headphones,3,35.62
O33500,C1018,Laptop Stand,3,10.2
O21395,C1045,  HDMI Adapter  ,1,49.29
O83446,C1047,Wireless Mouse,2,103.89
O38177,C1027,HDMI Adapter,3,75.09
O80575,C1027,Screen Protector,3,126.14
O19539,C1017,Laptop Sleeve,1,137.74
O94207,C1000,  Phone Case  ,1,13.52
O13697,C1037,MECHANICAL KEYBOARD,2,177.94
O79226,c1054,Portable Charger,2,38.85
O82151,C1020,Webcam,2,19.17
O10256,C1034,Desk Lamp,3,138.55
O82161,C1036,Wireless Mouse,2,96.11
O84473,C1059,Mechanical Keyboard,1,171.18
O47649,C1010,Laptop Sleeve,2,166.18
O45378,C1051,Laptop Stand,3,102.89
O47653,C1030,Laptop Stand,1,62.85
O36698,C1036,Portable Charger,3,79.08
O99989,C1013,Webcam,1,84.09
O17977,C1004,  Wireless Mouse  ,2,142.4
O16875,C1002,  Laptop Sleeve  ,1,167.08
O16291,C1050,Phone Case,1,170.91
O27143,C1051,Phone Case,1,117.42
O40983,C1019,  Screen Protector  ,3,62.56
O16006,C1023,Laptop Sleeve,2,121.74
O44429,C1035,BLUETOOTH HEADPHONES,2,79.75
O67896,C1017,Laptop Stand,2,50.91
O22521,C1058,Laptop Sleeve,1,75.69
O83464,C1010,USB-C Cable,1,67.89
O25572,C1035,Portable Charger,1,30.13
O74482,C1007,Screen Protector,3,23.56
O51441,C1016,HDMI Adapter,3,100.47
O26389,C1033,HDMI Adapter,1,76.29
O81376,C1050,Phone Case,3,60.91
O48138,C1041,Laptop Sleeve,1,
O16433,C1002,Desk Lamp,1,167.69
O57638,C1029,Wireless Mouse,3,26.4
O44152,C1014,HDMI Adapter,2,99.13
O17331,C1044,HDMI Adapter,1,47.4
O51035,C1037,PHONE CASE,3,77.38
O73068,C1004,Webcam,3,106.57
O62386,C1004,Screen Protector,3,83.06
O82151,C1020,Laptop Sleeve,1,98.98
O17144,C1000,Portable Charger,3,65.98
O28162,C1026,Webcam,3,112.87
O53815,C1006,Wireless Mouse,2,70.02
O73559,C1009,Mechanical Keyboard,3,39.1
O84278,C1035,Laptop Stand,1,71.14
O51048,C1048,Phone Case,1,174.35
O96309,C1010,Screen Protector,3,44.04
O74361,C1031,Webcam,2,72.54
O10157,C1030,Screen Protector,1,99.13
O56170,C1026,HDMI Adapter,3,
O60040,C1008,Screen Protector,3,127.46
O59601,C1018,Screen Protector,1,68.55
O72908,C1053,USB-C Cable,2,87.61
O83812,C1040,Laptop Sleeve,2,101.85
O86445,c1014,Laptop Stand,3,60.11
O11821,c1034,Webcam,3,114.0
O75390,C1039,HDMI Adapter,3,78.86
O20114,C1049,Laptop Stand,1,58.88
O70108,C1044,Screen Protector,1,64.94
O59601,C1018,USB-C Cable,3,26.17
O65640,C1044,Mechanical Keyboard,3,21.58
O83812,c1040,  Mechanical Keyboard  ,2,
O91345,C1005,Wireless Mouse,3,158.36
O21239,C1033,Bluetooth Headphones,2,132.56
O81188,C1049,USB-C Cable,2,171.66
O14085,C1056,Phone Case,2,66.33
O79616,C1029,Desk Lamp,3,177.92
O85385,C1018,Mechanical Keyboard,1,93.61
O33385,C1027,Laptop Sleeve,2,57.51
O96847,C1050,Portable Charger,2,54.33
O91877,C1020,Laptop Stand,2,19.35
O19539,C1017,HDMI Adapter,3,40.36
O67944,c1011,Laptop Stand,1,70.09
O46463,C1026,Desk Lamp,1,147.22
O32825,C1001,  Wireless Mouse  ,2,11.7
O16433,C1002,Wireless Mouse,2,134.3
O75514,C1034,Laptop Stand,2,72.79
O37973,C1038,Mechanical Keyboard,1,22.38
O56338,C1004,Mechanical Keyboard,1,93.83
O32344,C1055,Portable Charger,3,102.91
O66917,C1055,Mechanical Keyboard,2,15.61
O89711,C1014,Laptop Sleeve,3,92.36
O59592,C1056,Laptop Sleeve,3,54.81
O18450,C1027,Mechanical Keyboard,1,14.58
O67424,c1013,USB-C Cable,3,35.24
O98280,C1054,USB-C Cable,3,129.21
O69641,C1002,Portable Charger,2,105.47
O82154,C1002,Webcam,1,164.67
O22924,C1041,Bluetooth Headphones,2,133.59
O43947,C1049,Portable Charger,3,93.6
O54514,C1000,Laptop Sleeve,3,29.67
O26389,C1033,Webcam,3,133.18
O73472,c1005,PHONE CASE,2,88.68
O32273,C1038,PORTABLE CHARGER,3,179.25
O97528,C1041,Laptop Stand,3,140.41
O79761,C1022,Desk Lamp,2,21.52
O41404,C1021,Mechanical Keyboard,3,169.85
O67708,C1009,  Laptop Stand  ,2,119.78
O68360,C1020,  HDMI Adapter  ,2,91.29
O93744,C1053,Desk Lamp,3,141.19
O65823,C1044,Screen Protector,3,137.5
O53100,C1046,HDMI Adapter,2,49.75
O16051,C1010,Bluetooth Headphones,2,92.36
O70513,C1019,Laptop Stand,2,140.34
O18469,C1033,Desk Lamp,1,29.6
O44099,C1005,  Laptop Sleeve  ,2,179.98
O31567,C1050,Laptop Sleeve,1,88.55
O37521,C1008,HDMI Adapter,3,170.79
O39190,c1015,Screen Protector,2,25.65
O93665,C1012,Screen Protector,1,139.22
O23951,C1011,Portable Charger,1,137.5
O19828,C1012,HDMI Adapter,2,153.73
O40983,C1019,Phone Case,1,59.75
O99523,C1018,Bluetooth Headphones,1,67.18
O27589,C1018,HDMI Adapter,2,154.38
O46349,C1006,Bluetooth Headphones,3,50.58
O15383,C1054,  Portable Charger  ,2,
O74418,C1034,Portable Charger,1,73.71
O19813,C1029,Wireless Mouse,2,19.49
O47089,C1031,Webcam,3,53.03
O48401,C1045,Mechanical Keyboard,1,19.15
O89635,c1043,  Bluetooth Headphones  ,2,124.63
O79226,C1054,HDMI Adapter,1,166.09
O20031,C1015,Screen Protector,2,158.8
O44311,C1011,Screen Protector,3,141.29
O40115,C1041,Laptop Stand,3,122.54
O79258,C1041,Desk Lamp,3,134.32
O51984,C1032,Laptop Stand,3,20.4
O52229,C1012,HDMI Adapter,2,10.86
O85849,C1007,Phone Case,3,42.11
O16051,C1010,LAPTOP STAND,1,44.09
O52904,C1012,Screen Protector,2,132.63
O39922,C1015,HDMI Adapter,1,70.66
O43544,C1057,Bluetooth Headphones,1,45.09
O38905,C1026,Phone Case,2,149.6
O29087,C1048,Portable Charger,1,121.12
O15833,C1046,USB-C Cable,2,169.87
O87550,C1026,Screen Protector,1,59.58
O98587,C1011,Screen Protector,3,140.78
O94125,C1031,Portable Charger,3,97.96
O94390,C1033,Mechanical Keyboard,3,143.76
O10004,C1039,Phone Case,1,
O33206,C1056,Laptop Stand,2,158.01
O50372,C1021,Mechanical Keyboard,3,
O54265,C1031,Laptop Sleeve,3,
O35032,C1031,Mechanical Keyboard,1,86.6
O72685,C1007,Screen Protector,2,135.82
O48289,C1055,Mechanical Keyboard,3,129.8
O83812,c1040,Portable Charger,2,31.23
O45060,C1016,  Screen Protector  ,1,112.86
O47649,C1010,Desk Lamp,1,135.05
O95093,C1013,Bluetooth Headphones,3,116.42
O36624,C1032,Phone Case,3,103.17
O21239,C1033,Wireless Mouse,1,30.74
O21690,C1016,Webcam,1,120.5
O39329,c1000,Laptop Sleeve,1,76.31
O20031,C1015,Bluetooth Headphones,2,135.37
O99318,C1042,Webcam,2,29.01
O89602,C1039,Bluetooth Headphones,3,103.31
O61543,C1029,Bluetooth Headphones,2,31.04
O29805,C1007,Phone Case,3,38.63
O27548,C1051,Webcam,1,51.78
O90903,C1009,Wireless Mouse,3,14.59
O83464,C1010,Webcam,3,80.94
O46349,C1006,Webcam,1,157.13
O94341,C1008,Screen Protector,1,116.28
O69486,C1036,USB-C Cable,2,65.68
O66949,C1035,Webcam,2,141.6
O97835,C1005,Portable Charger,3,17.32
O82999,C1058,Laptop Sleeve,3,134.15
O88390,C1009,Bluetooth Headphones,3,47.39
O22502,C1041,Mechanical Keyboard,1,104.47
O31856,C1003,Laptop Sleeve,2,55.89
O79922,C1016,Desk Lamp,1,72.45
O11818,C1044,Phone Case,1,32.97
O53848,C1002,Webcam,1,160.74
O38905,C1026,USB-C Cable,2,140.88
O58200,C1056,MECHANICAL KEYBOARD,1,149.27
O56170,C1026,Screen Protector,3,126.39
O16006,C1023,Phone Case,2,85.99
O30568,C1003,HDMI Adapter,2,94.96
O44513,C1041,Wireless Mouse,2,148.56
O73559,C1009,USB-C Cable,1,168.64
O26539,C1048,Laptop Stand,3,103.69
O95362,C1034,HDMI Adapter,1,21.33
O72908,C1053,HDMI Adapter,2,22.1
O73559,C1009,Wireless Mouse,3,121.63
O44429,C1035,Laptop Stand,3,59.63
O34551,C1000,Laptop Stand,1,122.27
O30321,C1056,Screen Protector,3,172.03
O65640,C1044,Wireless Mouse,1,68.47
O51441,c1016,USB-C Cable,1,167.79
O89711,C1014,Mechanical Keyboard,3,118.31
O69641,C1002,Phone Case,1,88.21
O72613,C1000,Webcam,2,59.47
O46294,C1022,Laptop Sleeve,2,129.47
O77559,C1030,Bluetooth Headphones,3,119.82
O39350,C1035,USB-C Cable,1,15.85
O83446,C1047,Mechanical Keyboard,3,112.16
O53848,C1002,  Laptop Stand  ,1,128.93
O72367,C1049,Webcam,2,29.02
O64565,C1030,Mechanical Keyboard,2,38.83
O22015,C1003,Laptop Stand,3,178.08
O36624,c1032,Desk Lamp,2,
O38974,C1014,Bluetooth Headphones,2,18.96
O99318,C1042,Desk Lamp,2,173.33
O65822,C1059,  Webcam  ,3,141.14
O54150,C1037,Portable Charger,3,55.02
O52538,C1030,Laptop Sleeve,3,176.07
O18913,C1035,Laptop Sleeve,3,157.76
O39937,C1010,PORTABLE CHARGER,1,73.87
O33206,C1056,USB-C Cable,3,123.22
O91345,C1005,Bluetooth Headphones,1,87.95
O65212,C1031,Wireless Mouse,2,28.51
O42757,C1026,Bluetooth Headphones,1,147.77
O98587,C1011,Laptop Sleeve,1,57.71
O41224,C1027,Desk Lamp,3,121.39
O50449,C1002,Laptop Sleeve,2,75.19
O44152,C1014,Webcam,2,108.72
O30730,C1041,Wireless Mouse,3,164.97
O72294,C1000,Portable Charger,1,126.41
O29401,C1036,USB-C Cable,3,34.56
O37556,C1050,Mechanical Keyboard,1,60.47
O27940,C1002,Laptop Stand,1,108.85
O10358,C1035,Laptop Sleeve,2,154.59
O42943,C1050,Screen Protector,2,42.93
O75700,C1022,Laptop Stand,3,31.61
O42142,c1017,HDMI Adapter,1,58.67
O89478,C1003,Desk Lamp,2,73.52
O51048,C1048,Screen Protector,1,149.98
O84473,C1059,USB-C Cable,3,116.33
O80442,C1051,Wireless Mouse,3,44.76
O36299,C1054,Screen Protector,2,50.24
O34752,C1059,Laptop Sleeve,1,140.95
O28249,C1047,Laptop Stand,2,
O87170,C1030,Phone Case,3,60.07
O84757,C1001,Portable Charger,3,75.13
O99024,C1016,USB-C Cable,1,138.76
O95254,C1004,USB-C Cable,2,124.02
O47261,C1049,Phone Case,1,63.65
O89478,C1003,Mechanical Keyboard,1,38.85
O69606,C1052,Portable Charger,2,94.55
O30446,C1053,Mechanical Keyboard,3,139.45
O60040,C1008,Portable Charger,1,80.19
O48165,C1002,HDMI Adapter,3,166.07
O24029,C1056,Phone Case,2,117.09
O66893,C1018,  Laptop Stand  ,1,147.98
O65590,C1038,Desk Lamp,1,71.12
O66533,C1025,HDMI Adapter,2,47.19
O85650,C1045,  Screen Protector  ,1,176.48
O53815,C1006,Mechanical Keyboard,3,28.7
O72021,C1020,Desk Lamp,3,144.52
O67377,C1019,Desk Lamp,2,84.06
O60785,C1038,USB-C Cable,2,50.45
O25097,C1015,Laptop Stand,1,17.14
O73908,C1026,Laptop Sleeve,3,
O85757,C1016,Laptop Sleeve,1,70.31
O45378,C1051,Laptop Stand,3,102.89
O93735,C1049,Bluetooth Headphones,2,161.45
O69486,C1036,Screen Protector,1,68.84
O46294,C1022,Desk Lamp,1,9.57
O59716,C1047,Wireless Mouse,1,129.42
O46048,C1040,Bluetooth Headphones,1,50.12
O31146,C1039,Desk Lamp,1,57.54
O81549,C1036,Wireless Mouse,3,12.37
O42142,C1017,Screen Protector,3,89.26
O86916,C1015,Laptop Sleeve,2,128.54
O45060,C1016,Mechanical Keyboard,3,162.17
O66893,C1018,USB-C Cable,1,13.72
O67640,C1059,HDMI Adapter,2,19.75
O23159,C1031,  Webcam  ,2,102.21
O85650,C1045,HDMI Adapter,2,177.87
O47261,C1049,Bluetooth Headphones,3,85.93
O34530,C1006,Wireless Mouse,1,38.94
O58409,C1013,SCREEN PROTECTOR,1,160.92
O44311,C1011,Phone Case,2,102.6
O95181,C1029,Phone Case,3,18.47
O47653,C1030,Laptop Stand,1,62.85
O33500,C1018,Mechanical Keyboard,1,178.39
O58409,C1013,Desk Lamp,1,166.53
O84000,C1002,USB-C Cable,3,146.01
O67068,C1008,Laptop Stand,2,23.97
O59923,C1051,Screen Protector,3,41.72
O67271,C1003,Portable Charger,3,55.26
O97528,C1041,Laptop Sleeve,2,28.33
O94390,C1033,Portable Charger,3,37.09
O72021,C1020,Laptop Sleeve,1,
O77284,C1027,Bluetooth Headphones,2,66.78
O15370,C1034,USB-C Cable,2,73.62
O28423,C1004,HDMI Adapter,3,171.34
O67068,C1008,Laptop Sleeve,1,96.98
O95237,C1024,Desk Lamp,3,73.72
O76127,C1037,USB-C Cable,3,157.61
O44311,C1011,Laptop Sleeve,3,179.53
O41946,C1045,HDMI Adapter,1,53.95
O90775,C1010,Webcam,1,130.12
O30760,C1022,Bluetooth Headphones,2,171.96
O68422,C1012,Bluetooth Headphones,3,86.48
O61964,C1056,Laptop Sleeve,3,150.72
O60012,C1037,Mechanical Keyboard,2,167.01
O37521,C1008,Laptop Stand,3,177.46
O28671,C1046,Webcam,1,105.57
O58409,C1013,Bluetooth Headphones,1,14.93
O25931,C1029,  Desk Lamp  ,2,66.04
O95267,C1001,MECHANICAL KEYBOARD,3,179.09
O85552,C1038,Laptop Sleeve,2,69.85
O93611,C1015,Laptop Stand,2,80.98
O17806,C1008,USB-C Cable,1,70.76
O43352,C1029,  Bluetooth Headphones  ,1,
O26193,C1012,Phone Case,3,23.68
O69988,C1029,Phone Case,3,160.99
O80505,C1057,Screen Protector,1,145.43
O99173,C1044,HDMI Adapter,3,27.3
O89635,c1043,USB-C Cable,3,73.85
O84757,C1001,Webcam,2,179.35
O85457,C1058,Laptop Stand,2,153.6
O60785,C1038,Laptop Sleeve,1,92.53
O56961,C1028,Mechanical Keyboard,1,173.92
O38177,C1027,Laptop Stand,3,25.45
O32734,c1008,PORTABLE CHARGER,1,113.34
O77917,C1022,Bluetooth Headphones,2,56.4
O40115,C1041,Portable Charger,1,105.93
O68209,C1047,HDMI Adapter,1,94.58
O74011,C1037,BLUETOOTH HEADPHONES,2,60.6
O63665,C1019,Webcam,1,60.31
O56769,C1031,Portable Charger,1,174.01
O26260,C1023,Webcam,2,138.2
O30489,C1048,Bluetooth Headphones,1,
O60342,C1049,  Phone Case  ,2,
O66087,C1014,Phone Case,1,131.27
O56170,C1026,Portable Charger,1,76.51
O69338,C1051,Wireless Mouse,1,9.65
O29805,C1007,Portable Charger,2,
O85650,C1045,Laptop Sleeve,3,63.48
O49221,C1059,Webcam,2,148.31
O73020,C1038,Desk Lamp,1,150.37
O51441,c1016,Desk Lamp,3,146.82
O15956,C1010,WIRELESS MOUSE,2,142.05
O96743,C1038,Laptop Stand,1,20.21
O50944,C1014,USB-C Cable,1,31.26
O97424,C1041,USB-C Cable,3,38.66
O26539,C1048,Laptop Sleeve,2,151.47
O28407,C1015,  Laptop Stand  ,2,32.49
O74058,C1036,Bluetooth Headphones,2,101.84
O66414,C1034,Bluetooth Headphones,1,159.38
O30489,C1048,Desk Lamp,3,110.62
O66917,C1055,Laptop Stand,3,107.67
O88018,C1050,Phone Case,2,73.79
O55093,C1024,Laptop Sleeve,1,179.93
O82154,C1002,Laptop Stand,3,130.4
O95254,C1004,Desk Lamp,2,149.08
O58349,C1010,Laptop Stand,3,148.38
O22015,C1003,Phone Case,1,
O15956,C1010,Laptop Sleeve,1,172.4
O15833,C1046,Phone Case,1,55.39
