order_id,customer_id,product,quantity,unit_price,line_total
O94125,C1031,Hdmi Adapter,1,144.96,144.96
O46842,C1027,Wireless Mouse,2,172.05,344.1
O47700,C1025,Bluetooth Headphones,1,135.43,135.43
O52904,C1012,Wireless Mouse,3,15.57,46.71
O98472,C1013,Mechanical Keyboard,1,106.47,106.47
O99173,C1044,Portable Charger,1,95.78,95.78
O91877,C1020,Hdmi Adapter,1,63.62,63.62
O61615,C1045,Bluetooth Headphones,3,100.7,302.1
O81741,C1005,Laptop Stand,3,55.84,167.52
O31884,C1031,Screen Protector,3,71.96,215.88
O17144,C1000,Webcam,2,38.76,77.52
O18819,C1051,Bluetooth Headphones,2,15.61,31.22
O44159,C1052,Bluetooth Headphones,1,70.58,70.58
O96474,C1015,Usb-C Cable,2,163.26,326.52
O22502,C1041,Usb-C Cable,2,114.04,228.08
O17339,C1047,Webcam,1,45.65,45.65
O69641,C1002,Webcam,1,91.73,91.73
O97424,C1041,Laptop Sleeve,2,104.69,209.38
O75514,C1034,Usb-C Cable,3,128.91,386.73
O43947,C1049,Desk Lamp,3,92.84,278.52
O84757,C1001,Bluetooth Headphones,3,93.44,280.32
O57638,C1029,Laptop Stand,3,75.44,226.32
O41224,C1027,Webcam,2,140.67,281.34
O23951,C1011,Bluetooth Headphones,3,132.29,396.87
O45283,C1001,Wireless Mouse,2,66.81,133.62
O63665,C1019,Desk Lamp,1,96.99,96.99
O18934,C1006,Hdmi Adapter,1,165.75,165.75
O31856,C1003,Screen Protector,1,72.41,72.41
O30052,C1026,Phone Case,3,82.9,248.70000000000002
O39068,C1026,Hdmi Adapter,2,70.54,141.08
O28423,C1004,Webcam,1,168.91,168.91
O21297,C1050,Portable Charger,2,80.73,161.46
O28407,C1015,Wireless Mouse,3,25.65,76.94999999999999
O84278,C1035,Screen Protector,2,40.1,80.2
O58819,C1029,Bluetooth Headphones,3,36.02,108.06
O19337,C1051,Usb-C Cable,3,109.95,329.85
O98079,C1041,Mechanical Keyboard,2,153.9,307.8
O45283,C1001,Phone Case,2,29.51,59.02
O18126,C1044,Usb-C Cable,2,166.09,332.18
O72822,C1047,Usb-C Cable,2,29.92,59.84
O85308,C1010,Laptop Sleeve,2,67.2,134.4
O16051,C1010,Hdmi Adapter,3,170.75,512.25
O72616,C1021,Bluetooth Headphones,1,27.62,27.62
O55955,C1035,Laptop Stand,2,9.31,18.62
O82151,C1020,Phone Case,3,98.24,294.71999999999997
O38369,C1058,Usb-C Cable,1,162.1,162.1
O28139,C1048,Bluetooth Headphones,1,122.1,122.1
O72822,C1047,Laptop Stand,1,91.07,91.07
O51048,C1048,Webcam,1,92.94,92.94
O69486,C1036,Screen Protector,1,68.84,68.84
O46842,C1027,Usb-C Cable,1,62.82,62.82
O60785,C1038,Hdmi Adapter,2,167.17,334.34
O80442,C1051,Laptop Stand,3,65.53,196.59
O60012,C1037,Hdmi Adapter,1,82.85,82.85
O48165,C1002,Laptop Stand,2,75.61,151.22
O20114,C1049,Usb-C Cable,1,140.63,140.63
O39922,C1015,Bluetooth Headphones,2,65.74,131.48
O28162,C1026,Hdmi Adapter,1,154.25,154.25
O98472,C1013,Wireless Mouse,1,113.05,113.05
O86483,C1049,Laptop Sleeve,3,90.64,271.92
O40771,C1045,Bluetooth Headphones,1,117.0,117.0
O39329,C1000,Hdmi Adapter,2,154.47,308.94
O97835,C1005,Mechanical Keyboard,1,25.99,25.99
O33791,C1030,Desk Lamp,1,87.02,87.02
O77559,C1030,Phone Case,2,28.43,56.86
O99486,C1057,Hdmi Adapter,3,59.32,177.96
O26193,C1012,Wireless Mouse,3,144.06,432.18
O62354,C1000,Wireless Mouse,3,166.1,498.29999999999995
O73472,C1005,Phone Case,2,88.68,177.36
O45804,C1042,Portable Charger,3,91.7,275.1
O73472,C1005,Hdmi Adapter,3,29.29,87.87
O52335,C1030,Portable Charger,1,69.73,69.73
O28827,C1027,Hdmi Adapter,3,103.6,310.79999999999995
O10157,C1030,Portable Charger,3,162.28,486.84000000000003
O68360,C1020,Portable Charger,3,86.78,260.34000000000003
O84967,C1018,Phone Case,2,18.88,37.76
O65448,C1026,Webcam,2,36.7,73.4
O89920,C1037,Laptop Sleeve,1,137.57,137.57
O49363,C1058,Mechanical Keyboard,2,80.32,160.64
O46735,C1057,Screen Protector,2,128.1,256.2
O22363,C1036,Laptop Stand,2,24.67,49.34
O96960,C1041,Webcam,3,121.66,364.98
O97835,C1005,Webcam,3,147.93,443.79
O23164,C1020,Webcam,3,168.37,505.11
O52030,C1021,Usb-C Cable,2,56.21,112.42
O51976,C1059,Hdmi Adapter,2,33.42,66.84
O69441,C1056,Webcam,3,76.58,229.74
O93665,C1012,Laptop Stand,2,104.02,208.04
O74923,C1047,Hdmi Adapter,1,174.83,174.83
O68422,C1012,Wireless Mouse,2,19.0,38.0
O95093,C1013,Webcam,1,106.94,106.94
O77147,C1008,Webcam,3,59.41,178.23
O21171,C1015,Usb-C Cable,3,9.71,29.130000000000003
O93744,C1053,Hdmi Adapter,1,174.75,174.75
O30489,C1048,Laptop Sleeve,2,117.06,234.12
O70925,C1048,Mechanical Keyboard,3,32.49,97.47
O49513,C1006,Bluetooth Headphones,3,142.86,428.58000000000004
O85308,C1010,Usb-C Cable,3,118.75,356.25
O51035,C1037,Mechanical Keyboard,3,93.97,281.90999999999997
O86869,C1047,Usb-C Cable,3,172.54,517.62
O88018,C1050,Usb-C Cable,1,118.47,118.47
O85308,C1010,Webcam,3,80.12,240.36
O39820,C1042,Screen Protector,2,103.22,206.44
O18819,C1051,Laptop Sleeve,2,140.88,281.76
O95980,C1014,Usb-C Cable,1,16.53,16.53
O87664,C1015,Hdmi Adapter,3,91.33500000000001,274.005
O79054,C1019,Wireless Mouse,3,129.35,388.04999999999995
O73483,C1031,Screen Protector,1,176.69,176.69
O95196,C1027,Laptop Sleeve,2,59.92,119.84
O42426,C1029,Bluetooth Headphones,2,166.63,333.26
O91108,C1029,Desk Lamp,3,92.84,278.52
O36698,C1036,Wireless Mouse,2,60.74,121.48
O27888,C1012,Wireless Mouse,1,11.11,11.11
O32570,C1041,Portable Charger,1,55.37,55.37
O18729,C1039,Laptop Sleeve,2,163.47,326.94
O14522,C1003,Webcam,2,166.49,332.98
O50416,C1040,Phone Case,2,143.0,286.0
O57638,C1029,Usb-C Cable,3,140.09,420.27
O82350,C1005,Usb-C Cable,2,57.55,115.1
O89482,C1053,Hdmi Adapter,1,133.97,133.97
O15788,C1020,Mechanical Keyboard,3,166.73,500.18999999999994
O36588,C1018,Usb-C Cable,2,112.57,225.14
O82521,C1027,Phone Case,3,74.76,224.28000000000003
O99486,C1057,Webcam,1,97.46000000000001,97.46000000000001
O69606,C1052,Laptop Sleeve,3,147.86,443.58000000000004
O48165,C1002,Bluetooth Headphones,1,132.3,132.3
O18819,C1051,Laptop Stand,2,94.67,189.34
O66980,C1013,Portable Charger,2,80.73,161.46
O27911,C1030,Mechanical Keyboard,1,130.96,130.96
O25963,C1038,Hdmi Adapter,1,119.44,119.44
O38683,C1000,Webcam,3,38.25,114.75
O66087,C1014,Mechanical Keyboard,2,102.38,204.76
O36698,C1036,Webcam,1,28.48,28.48
O74361,C1031,Phone Case,3,163.43,490.29
O22032,C1031,Laptop Stand,2,123.33,246.66
O70845,C1006,Laptop Sleeve,2,153.13,306.26
O85813,C1012,Laptop Sleeve,2,105.37,210.74
O30070,C1028,Wireless Mouse,2,114.24,228.48
O30868,C1031,Desk Lamp,2,118.48,236.96
O28434,C1040,Desk Lamp,1,64.96,64.96
O31344,C1036,Wireless Mouse,1,108.04,108.04
O34688,C1017,Hdmi Adapter,2,163.99,327.98
O22280,C1027,Bluetooth Headphones,3,45.61,136.82999999999998
O67271,C1003,Desk Lamp,3,164.48,493.43999999999994
O78566,C1023,Portable Charger,3,30.14,90.42
O85550,C1003,Webcam,1,62.33,62.33
O21171,C1015,Mechanical Keyboard,3,53.75,161.25
O99173,C1044,Screen Protector,1,137.82,137.82
O93418,C1057,Phone Case,3,72.61,217.82999999999998
O68619,C1011,Bluetooth Headphones,1,145.69,145.69
O82845,C1000,Wireless Mouse,2,121.84,243.68
O11851,C1056,Mechanical Keyboard,2,167.6,335.2
O23951,C1011,Screen Protector,2,102.75,205.5
O68114,C1026,Bluetooth Headphones,1,117.65,117.65
O96972,C1053,Laptop Sleeve,1,102.35,102.35
O42325,C1029,Wireless Mouse,3,136.14,408.41999999999996
O18177,C1016,Wireless Mouse,1,19.94,19.94
O89920,C1037,Phone Case,2,39.72,79.44
O59998,C1003,Wireless Mouse,3,77.09,231.27
O52335,C1030,Desk Lamp,2,72.03,144.06
O38773,C1050,Laptop Stand,2,161.92,323.84
O20031,C1048,Mechanical Keyboard,3,137.93,413.79
O68065,C1048,Webcam,3,136.24,408.72
O82845,C1000,Laptop Sleeve,1,99.35,99.35
O16385,C1017,Webcam,3,57.86,173.57999999999998
O28827,C1027,Phone Case,2,57.79,115.58
O75639,C1043,Webcam,2,136.22,272.44
O17255,C1022,Wireless Mouse,1,103.03,103.03
O37973,C1038,Bluetooth Headphones,1,17.3,17.3
O27781,C1019,Screen Protector,1,155.14,155.14
O99523,C1018,Bluetooth Headphones,1,67.18,67.18
O61296,C1035,Webcam,1,102.26,102.26
O49513,C1006,Wireless Mouse,3,150.8,452.40000000000003
O75514,C1034,Wireless Mouse,3,153.8,461.40000000000003
O80442,C1051,Phone Case,3,12.8,38.400000000000006
O40115,C1041,Desk Lamp,1,80.42,80.42
O33206,C1056,Hdmi Adapter,1,144.8,144.8
O31567,C1050,Screen Protector,2,52.2,104.4
O16385,C1017,Hdmi Adapter,3,139.53,418.59000000000003
O74923,C1047,Webcam,3,83.73,251.19
O95597,C1058,Desk Lamp,3,35.76,107.28
O75251,C1009,Usb-C Cable,2,162.67,325.34
O85778,C1036,Bluetooth Headphones,1,91.38,91.38
O84928,C1050,Desk Lamp,2,120.12,240.24
O51984,C1032,Wireless Mouse,3,43.36,130.07999999999998
O79226,C1054,Mechanical Keyboard,1,16.01,16.01
O13251,C1042,Laptop Sleeve,3,106.38,319.14
O27882,C1002,Usb-C Cable,2,13.01,26.02
O38905,C1026,Bluetooth Headphones,2,45.59,91.18
O53292,C1003,Webcam,1,131.39,131.39
O70384,C1044,Portable Charger,2,79.09,158.18
O69460,C1033,Laptop Sleeve,1,159.93,159.93
O94512,C1058,Mechanical Keyboard,2,10.8,21.6
O45378,C1051,Webcam,1,35.99,35.99
O93238,C1057,Phone Case,2,172.49,344.98
O20114,C1049,Laptop Sleeve,3,121.85,365.54999999999995
O19539,C1017,Laptop Sleeve,1,137.74,137.74
O60040,C1008,Phone Case,1,119.76,119.76
O21239,C1033,Portable Charger,3,45.25,135.75
O62844,C1023,Hdmi Adapter,3,79.62,238.86
O70693,C1040,Screen Protector,1,92.63,92.63
O57638,C1029,Laptop Sleeve,1,91.85,91.85
O25931,C1029,Laptop Sleeve,3,14.3,42.900000000000006
O95093,C1013,Portable Charger,1,21.49,21.49
O80010,C1023,Wireless Mouse,1,29.77,29.77
O31068,C1025,Bluetooth Headphones,2,168.08,336.16
O94707,C1051,Portable Charger,2,80.54,161.08
O31093,C1002,Usb-C Cable,3,172.6,517.8
O67896,C1017,Portable Charger,2,44.36,88.72
O77673,C1046,Wireless Mouse,3,155.43,466.29
O45804,C1042,Webcam,2,93.55,187.1
O18934,C1006,Mechanical Keyboard,2,56.18,112.36
O11105,C1052,Mechanical Keyboard,3,56.36,169.07999999999998
O77917,C1022,Usb-C Cable,1,94.58,94.58
O85778,C1036,Hdmi Adapter,1,91.38,91.38
O93422,C1053,Usb-C Cable,2,87.28,174.56
O40984,C1039,Wireless Mouse,1,134.92,134.92
O28423,C1004,Mechanical Keyboard,3,48.6,145.8
O39190,C1015,Wireless Mouse,2,102.69,205.38
O58864,C1017,Portable Charger,3,28.54,85.62
O68422,C1012,Usb-C Cable,2,154.17,308.34
O44152,C1014,Mechanical Keyboard,1,170.42,170.42
O36299,C1054,Bluetooth Headphones,3,35.62,106.85999999999999
O33500,C1018,Laptop Stand,3,10.2,30.599999999999998
O21395,C1045,Hdmi Adapter,1,49.29,49.29
O83446,C1047,Wireless Mouse,2,103.89,207.78
O38177,C1027,Hdmi Adapter,3,75.09,225.27
O80575,C1027,Screen Protector,3,126.14,378.42
O94207,C1000,Phone Case,1,13.52,13.52
O13697,C1037,Mechanical Keyboard,2,177.94,355.88
O79226,C1054,Portable Charger,2,38.85,77.7
O82151,C1020,Webcam,2,19.17,38.34
O10256,C1034,Desk Lamp,3,138.55,415.65000000000003
O82161,C1036,Wireless Mouse,2,96.11,192.22
O84473,C1059,Mechanical Keyboard,1,171.18,171.18
O47649,C1010,Laptop Sleeve,2,166.18,332.36
O45378,C1051,Laptop Stand,3,102.89,308.67
O47653,C1030,Laptop Stand,1,62.85,62.85
O36698,C1036,Portable Charger,3,79.08,237.24
O99989,C1013,Webcam,1,84.09,84.09
O17977,C1004,Wireless Mouse,2,142.4,284.8
O16875,C1002,Laptop Sleeve,1,167.08,167.08
O16291,C1050,Phone Case,1,170.91,170.91
O27143,C1051,Phone Case,1,117.42,117.42
O40983,C1019,Screen Protector,3,62.56,187.68
O16006,C1023,Laptop Sleeve,2,121.74,243.48
O44429,C1035,Bluetooth Headphones,2,79.75,159.5
O67896,C1017,Laptop Stand,2,50.91,101.82
O22521,C1058,Laptop Sleeve,1,75.69,75.69
O83464,C1010,Usb-C Cable,1,67.89,67.89
O25572,C1035,Portable Charger,1,30.13,30.13
O74482,C1007,Screen Protector,3,23.56,70.67999999999999
O51441,C1016,Hdmi Adapter,3,100.47,301.40999999999997
O26389,C1033,Hdmi Adapter,1,76.29,76.29
O81376,C1050,Phone Case,3,60.91,182.73
O48138,C1041,Laptop Sleeve,1,102.1,102.1
O16433,C1002,Desk Lamp,1,167.69,167.69
O57638,C1029,Wireless Mouse,3,26.4,79.19999999999999
O44152,C1014,Hdmi Adapter,2,99.13,198.26
O17331,C1044,Hdmi Adapter,1,47.4,47.4
O51035,C1037,Phone Case,3,77.38,232.14
O73068,C1004,Webcam,3,106.57,319.71
O62386,C1004,Screen Protector,3,83.06,249.18
O82151,C1020,Laptop Sleeve,1,98.98,98.98
O17144,C1000,Portable Charger,3,65.98,197.94
O28162,C1026,Webcam,3,112.87,338.61
O53815,C1006,Wireless Mouse,2,70.02,140.04
O73559,C1009,Mechanical Keyboard,3,39.1,117.30000000000001
O84278,C1035,Laptop Stand,1,71.14,71.14
O51048,C1048,Phone Case,1,174.35,174.35
O96309,C1010,Screen Protector,3,44.04,132.12
O74361,C1031,Webcam,2,72.54,145.08
O10157,C1030,Screen Protector,1,99.13,99.13
O56170,C1026,Hdmi Adapter,3,91.33500000000001,274.005
O60040,C1008,Screen Protector,3,127.46,382.38
O59601,C1018,Screen Protector,1,68.55,68.55
O72908,C1053,Usb-C Cable,2,87.61,175.22
O83812,C1040,Laptop Sleeve,2,101.85,203.7
O86445,C1014,Laptop Stand,3,60.11,180.32999999999998
O11821,C1034,Webcam,3,114.0,342.0
O75390,C1039,Hdmi Adapter,3,78.86,236.57999999999998
O20114,C1049,Laptop Stand,1,58.88,58.88
O70108,C1044,Screen Protector,1,64.94,64.94
O59601,C1018,Usb-C Cable,3,26.17,78.51
O65640,C1044,Mechanical Keyboard,3,21.58,64.74
O83812,C1040,Mechanical Keyboard,2,105.55,211.1
O91345,C1005,Wireless Mouse,3,158.36,475.08000000000004
O21239,C1033,Bluetooth Headphones,2,132.56,265.12
O81188,C1049,Usb-C Cable,2,171.66,343.32
O14085,C1056,Phone Case,2,66.33,132.66
O79616,C1029,Desk Lamp,3,177.92,533.76
O85385,C1018,Mechanical Keyboard,1,93.61,93.61
O33385,C1027,Laptop Sleeve,2,57.51,115.02
O96847,C1050,Portable Charger,2,54.33,108.66
O91877,C1020,Laptop Stand,2,19.35,38.7
O19539,C1017,Hdmi Adapter,3,40.36,121.08
O67944,C1011,Laptop Stand,1,70.09,70.09
O46463,C1026,Desk Lamp,1,147.22,147.22
O32825,C1001,Wireless Mouse,2,11.7,23.4
O16433,C1002,Wireless Mouse,2,134.3,268.6
O75514,C1034,Laptop Stand,2,72.79,145.58
O37973,C1038,Mechanical Keyboard,1,22.38,22.38
O56338,C1004,Mechanical Keyboard,1,93.83,93.83
O32344,C1055,Portable Charger,3,102.91,308.73
O66917,C1055,Mechanical Keyboard,2,15.61,31.22
O89711,C1014,Laptop Sleeve,3,92.36,277.08
O59592,C1056,Laptop Sleeve,3,54.81,164.43
O18450,C1027,Mechanical Keyboard,1,14.58,14.58
O67424,C1013,Usb-C Cable,3,35.24,105.72
O98280,C1054,Usb-C Cable,3,129.21,387.63
O69641,C1002,Portable Charger,2,105.47,210.94
O82154,C1002,Webcam,1,164.67,164.67
O22924,C1041,Bluetooth Headphones,2,133.59,267.18
O43947,C1049,Portable Charger,3,93.6,280.79999999999995
O54514,C1000,Laptop Sleeve,3,29.67,89.01
O26389,C1033,Webcam,3,133.18,399.54
O32273,C1038,Portable Charger,3,179.25,537.75
O97528,C1041,Laptop Stand,3,140.41,421.23
O79761,C1022,Desk Lamp,2,21.52,43.04
O41404,C1021,Mechanical Keyboard,3,169.85,509.54999999999995
O67708,C1009,Laptop Stand,2,119.78,239.56
O68360,C1020,Hdmi Adapter,2,91.29,182.58
O93744,C1053,Desk Lamp,3,141.19,423.57
O65823,C1044,Screen Protector,3,137.5,412.5
O53100,C1046,Hdmi Adapter,2,49.75,99.5
O16051,C1010,Bluetooth Headphones,2,92.36,184.72
O70513,C1019,Laptop Stand,2,140.34,280.68
O18469,C1033,Desk Lamp,1,29.6,29.6
O44099,C1005,Laptop Sleeve,2,179.98,359.96
O31567,C1050,Laptop Sleeve,1,88.55,88.55
O37521,C1008,Hdmi Adapter,3,170.79,512.37
O39190,C1015,Screen Protector,2,25.65,51.3
O93665,C1012,Screen Protector,1,139.22,139.22
O23951,C1011,Portable Charger,1,137.5,137.5
O19828,C1012,Hdmi Adapter,2,153.73,307.46
O40983,C1019,Phone Case,1,59.75,59.75
O27589,C1018,Hdmi Adapter,2,154.38,308.76
O46349,C1006,Bluetooth Headphones,3,50.58,151.74
O15383,C1054,Portable Charger,2,80.73,161.46
O74418,C1034,Portable Charger,1,73.71,73.71
O19813,C1029,Wireless Mouse,2,19.49,38.98
O47089,C1031,Webcam,3,53.03,159.09
O48401,C1045,Mechanical Keyboard,1,19.15,19.15
O89635,C1043,Bluetooth Headphones,2,124.63,249.26
O79226,C1054,Hdmi Adapter,1,166.09,166.09
O20031,C1015,Screen Protector,2,158.8,317.6
O44311,C1011,Screen Protector,3,141.29,423.87
O40115,C1041,Laptop Stand,3,122.54,367.62
O79258,C1041,Desk Lamp,3,134.32,402.96
O51984,C1032,Laptop Stand,3,20.4,61.199999999999996
O52229,C1012,Hdmi Adapter,2,10.86,21.72
O85849,C1007,Phone Case,3,42.11,126.33
O16051,C1010,Laptop Stand,1,44.09,44.09
O52904,C1012,Screen Protector,2,132.63,265.26
O39922,C1015,Hdmi Adapter,1,70.66,70.66
O43544,C1057,Bluetooth Headphones,1,45.09,45.09
O38905,C1026,Phone Case,2,149.6,299.2
O29087,C1048,Portable Charger,1,121.12,121.12
O15833,C1046,Usb-C Cable,2,169.87,339.74
O87550,C1026,Screen Protector,1,59.58,59.58
O98587,C1011,Screen Protector,3,140.78,422.34000000000003
O94125,C1031,Portable Charger,3,97.96,293.88
O94390,C1033,Mechanical Keyboard,3,143.76,431.28
O10004,C1039,Phone Case,1,96.665,96.665
O33206,C1056,Laptop Stand,2,158.01,316.02
O50372,C1021,Mechanical Keyboard,3,105.55,316.65
O54265,C1031,Laptop Sleeve,3,102.1,306.29999999999995
O35032,C1031,Mechanical Keyboard,1,86.6,86.6
O72685,C1007,Screen Protector,2,135.82,271.64
O48289,C1055,Mechanical Keyboard,3,129.8,389.40000000000003
O83812,C1040,Portable Charger,2,31.23,62.46
O45060,C1016,Screen Protector,1,112.86,112.86
O47649,C1010,Desk Lamp,1,135.05,135.05
O95093,C1013,Bluetooth Headphones,3,116.42,349.26
O36624,C1032,Phone Case,3,103.17,309.51
O21239,C1033,Wireless Mouse,1,30.74,30.74
O21690,C1016,Webcam,1,120.5,120.5
O39329,C1000,Laptop Sleeve,1,76.31,76.31
O20031,C1015,Bluetooth Headphones,2,135.37,270.74
O99318,C1042,Webcam,2,29.01,58.02
O89602,C1039,Bluetooth Headphones,3,103.31,309.93
O61543,C1029,Bluetooth Headphones,2,31.04,62.08
O29805,C1007,Phone Case,3,38.63,115.89000000000001
O27548,C1051,Webcam,1,51.78,51.78
O90903,C1009,Wireless Mouse,3,14.59,43.769999999999996
O83464,C1010,Webcam,3,80.94,242.82
O46349,C1006,Webcam,1,157.13,157.13
O94341,C1008,Screen Protector,1,116.28,116.28
O69486,C1036,Usb-C Cable,2,65.68,131.36
O66949,C1035,Webcam,2,141.6,283.2
O97835,C1005,Portable Charger,3,17.32,51.96
O82999,C1058,Laptop Sleeve,3,134.15,402.45000000000005
O88390,C1009,Bluetooth Headphones,3,47.39,142.17000000000002
O22502,C1041,Mechanical Keyboard,1,104.47,104.47
O31856,C1003,Laptop Sleeve,2,55.89,111.78
O79922,C1016,Desk Lamp,1,72.45,72.45
O11818,C1044,Phone Case,1,32.97,32.97
O53848,C1002,Webcam,1,160.74,160.74
O38905,C1026,Usb-C Cable,2,140.88,281.76
O58200,C1056,Mechanical Keyboard,1,149.27,149.27
O56170,C1026,Screen Protector,3,126.39,379.17
O16006,C1023,Phone Case,2,85.99,171.98
O30568,C1003,Hdmi Adapter,2,94.96,189.92
O44513,C1041,Wireless Mouse,2,148.56,297.12
O73559,C1009,Usb-C Cable,1,168.64,168.64
O26539,C1048,Laptop Stand,3,103.69,311.07
O95362,C1034,Hdmi Adapter,1,21.33,21.33
O72908,C1053,Hdmi Adapter,2,22.1,44.2
O73559,C1009,Wireless Mouse,3,121.63,364.89
O44429,C1035,Laptop Stand,3,59.63,178.89000000000001
O34551,C1000,Laptop Stand,1,122.27,122.27
O30321,C1056,Screen Protector,3,172.03,516.09
O65640,C1044,Wireless Mouse,1,68.47,68.47
O51441,C1016,Usb-C Cable,1,167.79,167.79
O89711,C1014,Mechanical Keyboard,3,118.31,354.93
O69641,C1002,Phone Case,1,88.21,88.21
O72613,C1000,Webcam,2,59.47,118.94
O46294,C1022,Laptop Sleeve,2,129.47,258.94
O77559,C1030,Bluetooth Headphones,3,119.82,359.46
O39350,C1035,Usb-C Cable,1,15.85,15.85
O83446,C1047,Mechanical Keyboard,3,112.16,336.48
O53848,C1002,Laptop Stand,1,128.93,128.93
O72367,C1049,Webcam,2,29.02,58.04
O64565,C1030,Mechanical Keyboard,2,38.83,77.66
O22015,C1003,Laptop Stand,3,178.08,534.24
O36624,C1032,Desk Lamp,2,92.84,185.68
O38974,C1014,Bluetooth Headphones,2,18.96,37.92
O99318,C1042,Desk Lamp,2,173.33,346.66
O65822,C1059,Webcam,3,141.14,423.41999999999996
O54150,C1037,Portable Charger,3,55.02,165.06
O52538,C1030,Laptop Sleeve,3,176.07,528.21
O18913,C1035,Laptop Sleeve,3,157.76,473.28
O39937,C1010,Portable Charger,1,73.87,73.87
O33206,C1056,Usb-C Cable,3,123.22,369.65999999999997
O91345,C1005,Bluetooth Headphones,1,87.95,87.95
O65212,C1031,Wireless Mouse,2,28.51,57.02
O42757,C1026,Bluetooth Headphones,1,147.77,147.77
O98587,C1011,Laptop Sleeve,1,57.71,57.71
O41224,C1027,Desk Lamp,3,121.39,364.17
O50449,C1002,Laptop Sleeve,2,75.19,150.38
O44152,C1014,Webcam,2,108.72,217.44
O30730,C1041,Wireless Mouse,3,164.97,494.90999999999997
O72294,C1000,Portable Charger,1,126.41,126.41
O29401,C1036,Usb-C Cable,3,34.56,103.68
O37556,C1050,Mechanical Keyboard,1,60.47,60.47
O27940,C1002,Laptop Stand,1,108.85,108.85
O10358,C1035,Laptop Sleeve,2,154.59,309.18
O42943,C1050,Screen Protector,2,42.93,85.86
O75700,C1022,Laptop Stand,3,31.61,94.83
O42142,C1017,Hdmi Adapter,1,58.67,58.67
O89478,C1003,Desk Lamp,2,73.52,147.04
O51048,C1048,Screen Protector,1,149.98,149.98
O84473,C1059,Usb-C Cable,3,116.33,348.99
O80442,C1051,Wireless Mouse,3,44.76,134.28
O36299,C1054,Screen Protector,2,50.24,100.48
O34752,C1059,Laptop Sleeve,1,140.95,140.95
O28249,C1047,Laptop Stand,2,91.07,182.14
O87170,C1030,Phone Case,3,60.07,180.21
O84757,C1001,Portable Charger,3,75.13,225.39
O99024,C1016,Usb-C Cable,1,138.76,138.76
O95254,C1004,Usb-C Cable,2,124.02,248.04
O47261,C1049,Phone Case,1,63.65,63.65
O89478,C1003,Mechanical Keyboard,1,38.85,38.85
O69606,C1052,Portable Charger,2,94.55,189.1
O30446,C1053,Mechanical Keyboard,3,139.45,418.34999999999997
O60040,C1008,Portable Charger,1,80.19,80.19
O48165,C1002,Hdmi Adapter,3,166.07,498.21
O24029,C1056,Phone Case,2,117.09,234.18
O66893,C1018,Laptop Stand,1,147.98,147.98
O65590,C1038,Desk Lamp,1,71.12,71.12
O66533,C1025,Hdmi Adapter,2,47.19,94.38
O85650,C1045,Screen Protector,1,176.48,176.48
O53815,C1006,Mechanical Keyboard,3,28.7,86.1
O72021,C1020,Desk Lamp,3,144.52,433.56000000000006
O67377,C1019,Desk Lamp,2,84.06,168.12
O60785,C1038,Usb-C Cable,2,50.45,100.9
O25097,C1015,Laptop Stand,1,17.14,17.14
